Свойство1 / Свойство 2;Количество
Carnivore;2;;
SharpVision;2;;
Camouflage;2;;
Carnivore;2;;
SharpVision;2;;
Camouflage;2;;
Carnivore;2;;
SharpVision;2;;
Camouflage;2;;
Carnivore;2;;
SharpVision;2;;
Camouflage;2;;
пиратство;4;;
ядовитое / хищник;4;3;19
топотун / жировой запас;4;;
мимикрия;4;;
падальщик;4;;
водоплавающее;8;;
спячка / хищник;4;;
быстрое;4;;
отбрасывание хвоста;4;;
камуфляж / жировой запас;4;;
большой / хищник;4;;
большой / жировой запас;4;;
паразит / хищник;4;;
паразит / жировой запас;4;;
норное / жировой запас;4;;
острое зрение / жировой запас;4;;
симбиоз;4;;
взаимодействие / хищник;4;;
сотрудничество / жировой запас;4;;
сотрудничество / хищник;4;;